Country,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region
Switzerland,1,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,Unknown
Iceland,2,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,Unknown
Denmark,3,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,Unknown
Norway,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,Unknown
Canada,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,Unknown
Finland,6,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,Unknown
Netherlands,7,7.378,0.02799,1.32944,1.28017,0.89533,0.61772,0.31814,0.4761,2.4657,Unknown
Sweden,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,Unknown
New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.60824,0.42922,2.26425,Unknown
Australia,10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,Unknown
Israel,11,7.278,0.0347,1.22857,1.22393,0.91387,0.60804,0.30658,0.37577,2.59693,Unknown
Costa Rica,12,7.226,0.04454,0.95578,1.23788,0.86027,0.63274,0.6009,0.15718,2.80826,Unknown
Austria,13,7.2,0.03693,1.33723,1.29704,0.89042,0.6385,0.41404,0.2861,2.25883,Unknown
Mexico,14,7.187,0.04176,1.02054,1.16766,0.7342,0.55132,0.1842,0.22393,3.29676,Unknown
United States,15,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.40105,0.14924,2.51011,Unknown
Brazil,16,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.17521,3.23657,Unknown
Luxembourg,17,6.946,0.03499,1.56391,1.21726,0.91894,0.61583,0.39055,0.28034,2.00959,Unknown
Ireland,18,6.94,0.03676,1.33596,1.36948,0.89647,0.61777,0.45901,0.4526,1.85177,Unknown
Belgium,19,6.937,0.03595,1.30782,1.28566,0.89667,0.60835,0.31467,0.22837,2.27488,Unknown
United Arab Emirates,20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38465,0.26428,2.24812,Unknown
United Kingdom,21,6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.44417,0.27752,2.07966,Unknown
Oman,22,6.853,0.05098,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47678,Unknown
Venezuela,23,6.81,0.06476,1.04424,1.25596,0.57717,0.43673,0.12294,0.16184,3.19131,Unknown
Singapore,24,6.798,0.04627,1.52186,1.02,0.86384,0.64498,0.50381,0.31581,1.88501,Unknown
Panama,25,6.786,0.05208,1.06353,1.27583,0.77899,0.52805,0.37626,0.09806,2.58756,Unknown
Germany,26,6.75,0.01848,1.32792,1.29937,0.89166,0.61478,0.40961,0.21843,2.00877,Unknown
Chile,27,6.67,0.0544,1.10715,1.12447,0.78989,0.54555,0.33363,0.20646,2.5527,Unknown
Qatar,28,6.611,0.06257,1.69042,1.0786,0.79733,0.64045,0.52208,0.32573,1.55674,Unknown
France,29,6.575,0.03512,1.27778,1.26038,0.87867,0.55011,0.23534,0.20646,2.10427,Unknown
Argentina,30,6.574,0.05498,1.05351,1.24823,0.78723,0.44974,0.18226,0.07993,2.83667,Unknown
Czech Republic,31,6.505,0.04168,1.17898,1.20643,0.83242,0.57281,0.2734,0.10686,2.28443,Unknown
Uruguay,32,6.485,0.04539,1.06166,1.18996,0.7481,0.45492,0.45181,0.23027,2.32142,Unknown
Colombia,33,6.477,0.05051,0.91861,1.24018,0.59448,0.43196,0.53556,0.07887,2.76999,Unknown
Thailand,34,6.455,0.0365,0.9669,1.26504,0.67072,0.50218,0.54406,0.23608,2.27073,Unknown
Saudi Arabia,35,6.411,0.04633,1.39541,1.08393,0.72025,0.3313,0.31707,0.16205,2.43872,Unknown
Spain,36,6.329,0.05111,1.23011,1.31379,0.88559,0.50163,0.29654,0.11423,1.9695,Unknown
Malta,37,6.302,0.04812,1.20228,1.30944,0.80077,0.56226,0.4845,0.24817,1.68894,Unknown
Taiwan,38,6.298,0.03537,1.29098,1.07617,0.85398,0.56843,0.33789,0.14615,2.07988,Unknown
Kuwait,39,6.295,0.0456,1.55422,1.03637,0.7645,0.36495,0.27222,0.19422,2.07602,Unknown
Suriname,40,6.269,0.09548,1.04556,1.19847,0.69042,0.52036,0.55694,0.15183,2.05476,Unknown
Trinidad and Tobago,41,6.168,0.08312,1.21183,1.189,0.64551,0.43546,0.44582,0.17217,2.08978,Unknown
El Salvador,42,6.13,0.06588,0.75066,1.18148,0.68693,0.38562,0.44876,0.11776,2.58166,Unknown
Guatemala,43,6.123,0.07305,0.74301,1.04782,0.63554,0.39493,0.5677,0.10692,2.6342,Unknown
Uzbekistan,44,6.003,0.05208,0.63244,1.34367,0.59772,0.31463,0.22521,0.30826,2.60407,Unknown
Slovakia,45,5.995,0.04243,1.16891,1.26661,0.77637,0.55073,0.24659,0.10905,1.83516,Unknown
Ecuador,46,5.975,0.05466,0.86402,1.17462,0.7108,0.44888,0.42705,0.18072,2.17383,Unknown
Bahrain,47,5.96,0.06384,1.32886,1.03188,0.6612,0.47375,0.3194,0.23402,1.89601,Unknown
Bolivia,48,5.89,0.0754,0.65454,1.11734,0.57816,0.40498,0.40448,0.09029,2.6249,Unknown
Malaysia,49,5.77,0.0411,1.12486,1.1224,0.7004,0.53087,0.43614,0.14825,1.74581,Unknown
Poland,50,5.791,0.04263,1.12555,1.18782,0.77903,0.57144,0.34148,0.15566,1.60162,Unknown
South Korea,51,5.984,0.03682,1.24461,0.95774,0.91777,0.32078,0.07857,0.18488,2.26694,Unknown
Moldova,52,5.889,0.05321,0.59448,1.0153,0.61826,0.25856,0.21063,0.18226,3.06913,Unknown
Lithuania,53,5.833,0.04093,1.14723,1.25733,0.73128,0.52208,0.29929,0.08999,1.7536,Unknown
Belarus,54,5.813,0.03782,1.03192,1.30676,0.73045,0.34119,0.15884,0.17402,2.00513,Unknown
