Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Denmark,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939
Switzerland,2,7.509,1.52733,1.14524,0.86303,0.64497,0.41372,0.28583,2.69463
Iceland,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14524,0.47954,2.83137
Norway,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465
Finland,5,7.413,1.40598,1.13464,0.81091,0.6415,0.41372,0.27355,2.73137
Canada,6,7.404,1.44015,1.0961,0.8276,0.63728,0.32583,0.43887,2.70485
Netherlands,7,7.339,1.46468,1.02912,0.87881,0.60237,0.31814,0.4761,2.45746
New Zealand,8,7.334,1.36166,1.17278,0.91209,0.61523,0.58445,0.40672,2.26425
Australia,9,7.313,1.39451,1.18468,0.93956,0.61723,0.35637,0.43562,2.26646
Sweden,10,7.291,1.3782,1.17405,0.91087,0.66273,0.43844,0.37262,2.07119
Israel,11,7.267,1.22857,1.22393,0.91387,0.60804,0.30658,0.37577,2.59693
Austria,12,7.119,1.33723,1.29704,0.89042,0.6385,0.41404,0.2861,2.09883
United States,13,7.104,1.39451,1.24711,0.86179,0.54604,0.40105,0.14924,2.51011
Costa Rica,14,7.087,0.95578,1.23788,0.86027,0.63274,0.6009,0.15718,2.80826
Puerto Rico,15,7.039,1.3598,1.08098,0.832,0.60365,0.46262,0.09517,2.63728
Germany,16,6.994,1.32792,1.29937,0.89166,0.61478,0.40961,0.21843,2.00877
Brazil,17,6.952,0.98124,1.23287,0.69702,0.49049,0.17521,0.17521,3.23657
Belgium,18,6.929,1.30782,1.28566,0.89667,0.60835,0.31467,0.22837,2.27488
Ireland,19,6.907,1.33596,1.36948,0.89647,0.61777,0.45901,0.4526,1.85177
Luxembourg,20,6.871,1.56391,1.21726,0.91894,0.61583,0.39055,0.28034,1.82959
Mexico,21,6.778,1.02054,1.16766,0.7342,0.55132,0.1842,0.22393,3.04768
Singapore,22,6.739,1.52186,1.02,0.86384,0.64498,0.50381,0.31581,1.88501
Czech Republic,23,6.596,1.17898,1.20643,0.83242,0.57281,0.2734,0.10686,2.28443
United Arab Emirates,24,6.573,1.42727,1.12575,0.80925,0.64157,0.38465,0.26428,1.92086
Malta,25,6.488,1.20228,1.30944,0.80077,0.56226,0.4845,0.24817,1.58394
United Kingdom,26,6.725,1.26637,1.28548,0.90943,0.59625,0.44417,0.27752,2.07966
Taiwan,27,6.379,1.29098,1.07617,0.85398,0.56843,0.33789,0.14615,2.07988
Chile,28,6.705,1.10715,1.12447,0.78989,0.54555,0.33363,0.20646,2.5527
Panama,29,6.701,1.06353,1.27583,0.77899,0.52805,0.37626,0.09806,2.58756
Argentina,30,6.65,1.05351,1.24823,0.78723,0.44974,0.18226,0.07993,2.83667
Venezuela,31,6.084,1.04424,1.25596,0.57717,0.43673,0.12294,0.16184,3.19131
Spain,32,6.361,1.23011,1.31379,0.88559,0.50163,0.29654,0.11423,1.9695
Slovakia,33,6.078,1.16891,1.26661,0.77637,0.55073,0.24659,0.10905,1.83516
South Korea,34,5.835,1.24461,0.95774,0.91777,0.32078,0.07857,0.18488,2.26694
Uruguay,35,6.545,1.06166,1.18996,0.7481,0.45492,0.45181,0.23027,2.32142
Colombia,36,6.481,0.91861,1.24018,0.59448,0.43196,0.53556,0.07887,2.76999
Thailand,37,6.474,0.9669,1.26504,0.67072,0.50218,0.54406,0.23608,2.27073
Saudi Arabia,38,6.344,1.39541,1.08393,0.72025,0.3313,0.31707,0.16205,2.43872
Poland,39,5.835,1.12555,1.18782,0.77903,0.57144,0.34148,0.15566,1.60162
Lithuania,40,5.833,1.14723,1.25733,0.73128,0.52208,0.29929,0.08999,1.7536
Ecuador,41,5.981,0.86402,1.17462,0.7108,0.44888,0.42705,0.18072,2.17383
