Country,Happiness.Rank,Happiness.Score,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Generosity,Dystopia.Residual
Norway,1,7.537,1.616463,1.533524,0.796667,0.635423,0.362012,0.315796,2.277027
Denmark,2,7.522,1.482383,1.551122,0.792566,0.626007,0.35528,0.40077,2.313707
Iceland,3,7.504,1.480633,1.610574,0.833552,0.627163,0.47554,0.153527,2.322715
Switzerland,4,7.494,1.56498,1.516912,0.858131,0.620071,0.290549,0.367007,2.276716
Finland,5,7.469,1.443572,1.540247,0.809158,0.617951,0.245483,0.382612,2.430182
Netherlands,6,7.377,1.503945,1.428939,0.880764,0.576561,0.299357,0.467835,2.294804
Canada,7,7.316,1.479204,1.481349,0.834558,0.611101,0.43554,0.285564,2.189561
New Zealand,8,7.314,1.405706,1.548195,0.90738,0.623476,0.586398,0.389073,2.050045
Australia,9,7.284,1.484415,1.510042,0.943062,0.628136,0.396573,0.444285,2.177195
Sweden,10,7.284,1.494387,1.478162,0.910296,0.639788,0.390562,0.36233,2.108742
Israel,11,7.213,1.244616,1.363828,0.908307,0.601707,0.315175,0.305956,2.4733
Costa Rica,12,7.079,0.998528,1.242092,0.8332,0.703628,0.5538,0.176613,2.572012
Austria,13,7.006,1.396164,1.327439,0.895007,0.619454,0.397951,0.308909,2.067535
United States,14,6.993,1.546492,1.225229,0.862205,0.546977,0.422268,0.177862,2.211733
Ireland,15,6.977,1.454627,1.459606,0.896624,0.613553,0.449043,0.447203,1.658462
Germany,16,6.951,1.3889,1.322788,0.895576,0.60554,0.415846,0.220811,2.101616
Belgium,17,6.891,1.363478,1.288258,0.896765,0.612035,0.324208,0.231428,2.174879
Luxembourg,18,6.863,1.603904,1.237003,0.918949,0.611953,0.385024,0.261826,1.84392
United Kingdom,19,6.714,1.343936,1.300519,0.909296,0.59606,0.455891,0.266919,1.841561
Chile,20,6.652,1.211903,1.195704,0.817762,0.56334,0.3148,0.207063,2.341755
United Arab Emirates,21,6.648,1.46901,1.147614,0.808736,0.64536,0.383477,0.264014,1.928928
Brazil,22,6.635,1.024451,1.432095,0.68249,0.487498,0.217736,0.076552,2.714814
Czech Republic,23,6.609,1.244736,1.265028,0.840665,0.608089,0.261524,0.113614,2.275631
Argentina,24,6.599,1.093191,1.307948,0.786093,0.449929,0.190852,0.073992,2.697229
Mexico,25,6.578,1.042936,1.225907,0.77469,0.514398,0.220165,0.101659,2.697789
Singapore,26,6.572,1.55277,1.101985,0.963827,0.636628,0.506046,0.278011,1.532761
Malta,27,6.527,1.274399,1.302831,0.87789,0.615,0.438091,0.248067,1.771231
Uruguay,28,6.454,1.06894,1.243685,0.764727,0.452553,0.431847,0.231219,2.262018
Colombia,29,6.357,0.942694,1.260258,0.633441,0.431356,0.534694,0.087449,2.467699
Thailand,30,6.424,0.9853,1.294892,0.660864,0.534938,0.57583,0.204163,2.167651
Slovakia,31,6.198,1.221007,1.267291,0.760178,0.573047,0.261376,0.094862,2.020424
South Korea,32,5.838,1.246876,0.953164,0.942818,0.346474,0.075988,0.185683,2.087581
Bolivia,33,5.823,0.656,1.117341,0.578158,0.40498,0.40448,0.090294,2.6249
Spain,34,6.403,1.248088,1.313978,0.885604,0.52458,0.295698,0.124416,2.01062
Hungary,35,5.324,1.145289,1.239505,0.741882,0.448886,0.263843,0.121891,1.363016
Poland,36,5.973,1.151205,1.228574,0.816791,0.587616,0.33415,0.128965,1.726093
Russia,37,5.963,1.156994,1.236428,0.65364,0.532003,0.204384,0.05148,2.168182
China,38,5.273,0.910726,1.08846,0.816421,0.250684,0.10452,0.078971,2.023938
Indonesia,39,5.262,0.85531,1.118247,0.622397,0.449958,0.614131,0.127876,1.474561
Vietnam,40,5.074,0.741016,1.195467,0.588489,0.421268,0.552189,0.071729,1.504004
Malaysia,41,5.864,1.121844,1.121401,0.700405,0.530874,0.436135,0.148253,1.745817
Pakistan,42,5.269,0.535524,0.454383,0.40219,0.375422,0.285252,0.108955,3.09067
Nigeria,43,5.074,0.680906,1.2254,0.16354,0.3686,0.40526,0.25242,1.97785
India,44,4.315,0.644995,0.381743,0.515286,0.46465,0.380041,0.07566,1.855956
Bangladesh,45,4.608,0.397525,0.632436,0.494765,0.530241,0.4089,0.198813,1.946141
Nepal,46,4.514,0.35997,0.92621,0.49397,0.25208,0.360624,0.192732,1.930014
Kenya,47,4.553,0.36773,1.08706,0.369329,0.23616,0.371819,0.150893,1.972052
Ghana,48,4.72,0.570057,1.015261,0.380153,0.2568,0.319682,0.182914,1.995416
Ethiopia,49,4.46,0.190725,1.070636,0.381261,0.205637,0.366978,0.122845,2.121962
Uganda,50,3.986,0.235006,1.14294,0.20586,0.117355,0.37192,0.180813,1.731765
Myanmar,51,4.545,0.275283,0.768832,0.481543,0.425282,0.45472,0.10904,2.03096
Cambodia,52,3.907,0.460378,0.734979,0.505208,0.31483,0.428888,0.15945,1.28289
Tanzania,53,3.349,0.285262,1.151738,0.324427,0.09566,0.358154,0.22519,0.90829
Burundi,54,2.905,0.0153,0.415866,0.223963,0.141948,0.115872,0.10854,1.89997
Central African Republic,55,3.678,0.0,0.0,0.018032,0.189219,0.203083,0.05565,2.399262
Rwanda,56,3.471,0.332365,0.711954,0.614562,0.55491,0.55191,0.217914,0.488838
Afghanistan,57,3.794,0.317267,0.30274,0.30267,0.234135,0.097191,0.093274,2.347922
Syria,58,3.462,0.663243,0.474887,0.406762,0.049873,0.451966,0.044404,1.372816
South Sudan,59,3.591,0.397249,0.601323,0.163486,0.147062,0.116794,0.282492,2.483547
Togo,60,3.495,0.208174,0.535014,0.2152,0.128979,0.226611,0.099801,2.08152
Benin,61,3.657,0.286651,0.353859,0.319103,0.266726,0.16388,0.081881,2.18502
