Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
1,Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393
2,Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34
3,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.4
4,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138
5,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357
6,Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295
7,Canada,7.328,1.33,1.562,0.848,0.63,0.291,0.5
8,New Zealand,7.324,1.268,1.601,0.876,0.695,0.389,0.558
9,Sweden,7.314,1.355,1.501,0.882,0.662,0.292,0.422
10,Australia,7.272,1.34,1.573,0.91,0.647,0.322,0.444
11,Israel,7.19,1.177,1.401,0.931,0.567,0.303,0.434
12,Austria,7.139,1.341,1.363,0.891,0.63,0.241,0.403
13,Costa Rica,7.143,0.976,1.296,0.798,0.705,0.559,0.143
14,Ireland,6.977,1.448,1.583,0.875,0.611,0.337,0.523
15,Germany,6.965,1.34,1.474,0.861,0.586,0.274,0.383
16,Belgium,6.927,1.305,1.401,0.885,0.578,0.262,0.272
17,Luxembourg,6.91,1.574,1.478,0.882,0.619,0.269,0.297
18,United States,6.886,1.398,1.471,0.819,0.547,0.133,0.449
19,United Kingdom,6.814,1.301,1.488,0.877,0.59,0.327,0.498
20,United Arab Emirates,6.774,1.426,1.263,0.791,0.65,0.33,0.278
21,Czech Republic,6.711,1.269,1.487,0.779,0.587,0.021,0.331
22,Malta,6.627,1.27,1.452,0.852,0.638,0.278,0.434
23,France,6.489,1.324,1.472,0.882,0.556,0.183,0.386
24,Mexico,6.488,1.07,1.323,0.726,0.547,0.071,0.213
25,Taiwan,6.441,1.368,1.205,0.87,0.521,0.208,0.246
26,Chile,6.476,1.181,1.345,0.78,0.552,0.165,0.31
27,Panama,6.43,1.133,1.439,0.733,0.577,0.022,0.283
28,Brazil,6.3,1.026,1.401,0.663,0.454,0.041,0.137
29,Argentina,6.388,1.092,1.432,0.747,0.481,0.057,0.191
30,Guatemala,6.382,0.797,1.29,0.601,0.607,0.181,0.126
31,Uruguay,6.379,1.124,1.465,0.766,0.554,0.304,0.295
32,Colombia,6.26,0.985,1.373,0.623,0.505,0.03,0.072
33,Thailand,6.072,1.01,1.409,0.726,0.574,0.041,0.249
34,Slovakia,6.198,1.246,1.418,0.775,0.58,0.044,0.241
35,El Salvador,6.167,0.794,1.336,0.654,0.511,0.056,0.173
36,Trinidad and Tobago,6.192,1.231,1.477,0.654,0.488,0.086,0.187
37,Poland,5.991,1.206,1.448,0.776,0.561,0.098,0.268
38,Uzbekistan,6.096,0.745,1.529,0.627,0.631,0.267,0.243
39,South Korea,5.875,1.265,1.04,0.853,0.368,0.033,0.119
40,Nicaragua,6.105,0.694,1.341,0.707,0.536,0.213,0.118
41,Ecuador,5.891,0.913,1.292,0.659,0.507,0.094,0.167
42,Kazakhstan,5.931,1.168,1.458,0.706,0.421,0.091,0.146
43,Bolivia,5.779,0.686,1.319,0.575,0.502,0.128,0.062
44,Russia,5.81,1.185,1.48,0.64,0.549,0.04,0.138
45,Kosovo,4.719,0.854,1.261,0.617,0.284,0.048,0.213
46,Montenegro,5.039,1.051,1.464,0.761,0.428,0.051,0.116
47,Vietnam,5.175,0.741,1.346,0.741,0.514,0.087,0.082
48,Malaysia,5.339,1.221,1.292,0.769,0.537,0.089,0.314
49,Belarus,5.579,1.127,1.465,0.741,0.438,0.07,0.184
50,Turkey,5.483,1.183,1.347,0.697,0.347,0.011,0.082
51,Indonesia,5.093,0.931,1.203,0.629,0.491,0.228,0.131
52,Bulgaria,4.933,1.092,1.513,0.741,0.421,0.046,0.147
53,China,5.246,1.063,1.229,0.854,0.371,0.091,0.121
54,Pakistan,5.472,0.617,0.521,0.386,0.464,0.252,0.165
55,Philippines,5.44,0.769,1.389,0.614,0.517,0.034,0.152
56,Morocco,5.187,0.778,0.886,0.637,0.313,0.156,0.064
57,India,4.19,0.755,0.362,0.538,0.449,0.193,0.101
58,Georgia,4.519,0.905,0.908,0.737,0.418,0.123,0.11
59,Armenia,4.376,0.85,1.055,0.761,0.322,0.028,0.075
60,Nigeria,5.155,0.696,1.268,0.237,0.446,0.226,0.15
61,Nepal,4.88,0.446,0.919,0.576,0.364,0.246,0.14
62,Ethiopia,4.35,0.338,1.07,0.454,0.329,0.288,0.073
63,Ghana,4.656,0.611,1.042,0.456,0.302,0.216,0.132
64,Kenya,4.509,0.476,1.093,0.433,0.283,0.259,0.119
65,Cameroon,4.252,0.547,1.077,0.26,0.252,0.092,0.175
