Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.585
9,Canada,7.278,1.365,1.505,1.039,0.584,0.308,0.444
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,Australia,7.228,1.372,1.548,1.036,0.557,0.317,0.444
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.172
13,Israel,7.139,1.276,1.455,1.029,0.371,0.082,0.261
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.261
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.279,0.357
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.413
17,Germany,6.985,1.373,1.454,0.987,0.495,0.265,0.273
18,Belgium,6.923,1.356,1.504,1.004,0.473,0.182,0.213
19,United States,6.892,1.433,1.457,0.874,0.454,0.128,0.29
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.37
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.577,0.182,0.241
22,Malta,6.726,1.3,1.52,0.999,0.564,0.225,0.375
23,Mexico,6.595,1.07,1.323,0.761,0.383,0.128,0.098
24,France,6.592,1.324,1.472,1.045,0.436,0.183,0.278
25,Taiwan,6.446,1.368,1.252,0.914,0.512,0.19,0.266
26,Chile,6.444,1.159,1.369,0.92,0.357,0.134,0.187
27,Guatemala,6.436,0.82,1.351,0.735,0.555,0.139,0.122
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.073,0.133
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.098
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.248
31,Panama,6.321,1.149,1.442,0.868,0.486,0.028,0.259
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.089
33,Uruguay,6.293,1.124,1.465,0.891,0.415,0.137,0.223
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.436,0.22
35,El Salvador,6.253,0.806,1.362,0.803,0.462,0.072,0.1
36,Italy,6.223,1.294,1.488,1.039,0.231,0.131,0.158
37,Bahrain,6.199,1.362,1.25,0.89,0.469,0.13,0.228
38,Slovakia,6.198,1.246,1.418,0.915,0.467,0.104,0.235
39,Argentina,6.086,1.092,1.432,0.879,0.369,0.06,0.118
40,Croatia,6.006,1.155,1.485,0.914,0.296,0.058,0.157
41,Colombia,5.997,0.985,1.41,0.785,0.454,0.048,0.067
42,Trinidad and Tobago,6.192,1.231,1.477,0.771,0.448,0.086,0.14
43,Kosovo,5.096,0.854,1.261,0.73,0.324,0.048,0.109
44,Thailand,6.008,1.0,1.409,0.766,0.567,0.044,0.174
45,Uruguay,6.293,1.124,1.465,0.891,0.415,0.137,0.223
46,Nicaragua,6.105,0.694,1.341,0.791,0.436,0.15,0.11
47,Bolivia,5.779,0.686,1.319,0.679,0.402,0.128,0.069
48,Malaysia,5.339,1.221,1.292,0.9,0.465,0.234,0.294
49,Russia,5.648,1.183,1.451,0.782,0.405,0.048,0.143
50,Kazakhstan,5.809,1.168,1.458,0.829,0.416,0.087,0.148
51,Vietnam,5.175,0.741,1.346,0.851,0.543,0.118,0.071
52,Philippines,5.631,0.757,1.39,0.756,0.462,0.034,0.172
53,Poland,6.182,1.206,1.448,0.886,0.498,0.098,0.219
54,South Korea,5.895,1.265,1.067,1.052,0.159,0.031,0.086
55,Indonesia,5.192,0.931,1.203,0.737,0.491,0.228,0.127
56,Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.267,0.244
57,China,5.191,1.029,1.125,0.893,0.521,0.084,0.058
58,Morocco,5.208,0.836,0.838,0.764,0.35,0.054,0.151
59,Pakistan,5.653,0.617,0.521,0.614,0.464,0.098,0.262
60,India,4.015,0.755,0.362,0.626,0.449,0.193,0.182
61,Turkey,5.373,1.15,1.328,0.854,0.382,0.071,0.065
62,Georgia,4.286,0.969,0.896,0.851,0.409,0.12,0.113
63,Armenia,4.559,0.85,1.055,0.823,0.396,0.083,0.05
64,Nigeria,5.265,0.696,1.268,0.374,0.446,0.226,0.096
65,Nepal,4.913,0.446,0.919,0.672,0.364,0.246,0.221
66,Bangladesh,4.456,0.471,0.682,0.613,0.464,0.197,0.209
67,Ghana,4.996,0.611,1.042,0.573,0.302,0.216,0.157
68,Kenya,4.509,0.512,1.093,0.526,0.308,0.259,0.143
